題號,模式,範圍,題目,選擇題,答案,官方解釋,教師解釋
B61,基礎模式,科目一（01）AI 基礎概念與發展,企業導入 No-Code/Low-Code 平台，隨使用範圍擴大，管理層開始關注資料權限、存取紀錄與合規要求。下列敘述何者合理？,（A）平台應具備推閱與資料存取控管機制；（B）平台強化部門自主性，通常使其治理流程難以延續；（C）平台主要支援快速開發，資料治理需完全仰賴外部系統；（D）平台透過自動化設定機制，可顯著降低治理與合規管理需求,A｜平台應具備推閱與資料存取控管機制,企業擴大使用 No-Code／Low-Code 平台後，平台治理（Governance）需納入身分與權限管理、資料存取控制、操作紀錄、稽核追蹤及合規管理等機制，以確保不同角色只能存取被授權的資料與功能。,No-Code／Low-Code 用的人越多，就越不能只管「開發快不快」，還要管「誰可以看什麼、改什麼、做過哪些操作」。例如財務資料不能讓所有部門都能看到，重要資料的存取也要留下紀錄，之後才能稽核。所以合理的做法是平台具備權限與資料存取控管機制，答案是 A。
B62,基礎模式,科目一（01）AI 基礎概念與發展,法律事務所導入 AI 合約審查系統，架構師在設計上下文（Context）時最優先考量應為何？,（A）強化模型的創意生成能力；（B）儘量壓縮長度以降低成本；（C）優先提升回應速度；（D）優先保留原文逐字精確性,D｜優先保留原文逐字精確性,法律文件的內容具有高度精確性要求，因此在設計 AI 合約審查系統的上下文（Context）時，應優先維持原始條款、文字內容與語意的完整性，避免因過度摘要、改寫或壓縮而造成法律意義偏移。,合約不是一般文章，少一個「不得」、多一個「得」，法律效果都可能完全不同。所以做合約審查時，最重要的不是讓 AI 回答快一點或更有創意，而是先確保它看到的原文夠完整、夠精確，不能把關鍵文字壓縮掉。所以答案是「優先保留原文逐字精確性」。
B63,基礎模式,科目一（01）AI 基礎概念與發展,某企業在設計 AI 代理時，判斷是否採用 ReAct（Reason and Act）架構。下列哪一種情境最適合使用 ReAct 技術？,（A）將固定格式的 PDF 合約批次翻譯並儲存；（B）根據既有規則判斷退貨條件並回覆；（C）依既定流程進行多步資料查詢與整理；（D）分析新創公司融資狀況，由 AI 自行判斷資訊是否足夠並調整查詢方向,D｜分析新創公司融資狀況，由 AI 自行判斷資訊是否足夠並調整查詢方向,ReAct（Reason and Act）是一種讓 AI 在推理（Reasoning）與採取行動（Acting）之間反覆交替的代理架構。當任務需要 AI 根據目前資訊判斷下一步、使用工具取得新資料，再依結果調整後續行動時，特別適合採用 ReAct。,ReAct 的重點不是「照固定流程做完」，而是「邊想、邊查、再決定下一步」。例如分析一家新創公司的融資狀況，AI 先查募資紀錄，發現資訊不夠，再決定去查新聞、公司資料或投資人資訊；查完後又重新判斷是否還缺資料。這種會依結果改變下一步的任務最符合 ReAct，所以答案是 D。
B64,基礎模式,科目一（01）AI 基礎概念與發展,某電信公司導入 Encoder-Decoder 架構系統。下列何者最能準確敘述該系統中解碼器（Decoder）的作用？,（A）一次性將編碼器表示轉換為完整句子；（B）根據編碼器表示並結合先前已生成內容，逐詞產生回覆；（C）先生成完整句子後再進行語意修正；（D）產生多個候選句子並選擇最適合的一句輸出,B｜根據編碼器表示並結合先前已生成內容，逐詞產生回覆,在 Encoder-Decoder 架構中，編碼器（Encoder）先將輸入內容轉換為語意表示；解碼器（Decoder）則根據該表示以及先前已產生的內容，以自回歸（Autoregressive）方式逐步產生後續詞元，直到完成輸出序列。,可以把 Encoder 想成「先把輸入內容讀懂並整理成資訊」，Decoder 則是「根據這些資訊一句一句把答案講出來」。它不是一次瞬間把整句話吐出來，而是產生前面的字之後，再參考前面已經產生的內容決定下一個字。因此答案是「根據編碼器表示並結合先前已生成內容，逐詞產生回覆」。
B65,基礎模式,科目一（01）AI 基礎概念與發展,某智慧城市專案需持續蒐集環境數據（如 PM2.5、氣體濃度）與設備狀態。下列何種技術最直接支援上述需求？,（A）專家系統；（B）決策支援系統；（C）啟發式決策引擎；（D）感知器網路（Sensor Network）,D｜感知器網路（Sensor Network）,感知器網路（Sensor Network）是由多個感測節點所組成，可持續蒐集環境或設備的物理資訊，例如溫度、濕度、PM2.5、氣體濃度、壓力與設備狀態，再將資料傳送至後端系統進行監控與分析。,這題看到「持續蒐集環境數據」就要想到感知器。智慧城市可以在不同地點裝 PM2.5、溫度、氣體等感測器，這些裝置不斷量測，再把數據傳回系統。專家系統或決策支援系統主要是拿資料來分析或做決策，不是最直接負責「把現場數據收回來」，所以答案是「感知器網路（Sensor Network）」。
B66,基礎模式,科目一（01）AI 基礎概念與發展,根據《金融機構運用 AI 技術作業規範》，提供服務直接與消費者互動時，何者「非」必要揭露資訊？,（A）該服務之 AI 模型原始程式碼；（B）服務適用對象與用途範圍；（C）該服務是否為 AI 自動完成；（D）該服務是否提供替代方案,A｜該服務之 AI 模型原始程式碼,金融機構使用 AI 與消費者直接互動時，應依服務情境適當揭露 AI 使用情形、適用對象與用途，以及必要時可採行的替代方案等資訊，以維持透明性與消費者權益；但並不要求向消費者公開 AI 模型的原始程式碼。,這題是在問「哪些資訊消費者有必要知道」。例如你是在跟 AI 客服互動、這個 AI 可以做什麼、如果不想用 AI 有沒有其他方式，這些都和消費者權益有關；但把整套 AI 原始程式碼公開，既不是一般消費者需要理解的資訊，也不是必要揭露內容。所以答案是 A「該服務之 AI 模型原始程式碼」。
B67,基礎模式,科目一（01）AI 基礎概念與發展,某果園管理公司導入 AI 系統，透過分析果實外觀影像來判斷熟度並決定採收時機。此系統主要屬於哪一 AI 領域？,（A）自然語言處理；（B）電腦視覺（Computer Vision）；（C）語音識別；（D）推薦系統,B｜電腦視覺（Computer Vision）,電腦視覺（Computer Vision）是讓 AI 從圖片或影片中辨識、分析與理解視覺資訊的技術。透過果實外觀影像判斷顏色、形狀、斑點或成熟程度，屬於典型的影像辨識與電腦視覺應用。,這題只要看到「分析果實外觀影像」就要想到電腦視覺。AI 是透過攝影機「看」水果，例如根據顏色變化判斷是不是成熟，再決定何時採收。既然輸入的核心資料是影像，所以答案是 B「電腦視覺（Computer Vision）」。
B68,基礎模式,科目一（01）AI 基礎概念與發展,關於 Flash Attention 技術的主要效益，下列敘述何者最正確？,（A）忽略影響較小的權重以降低計算量；（B）調整注意力計算與資料處理方式，減少中間結果儲存並改善速度；（C）增加注意力頭部的並行程度；（D）將結果暫存於高速快取以避免重複計算,B｜調整注意力計算與資料處理方式，減少中間結果儲存並改善速度,FlashAttention 是一種具 I/O 感知能力的精確注意力演算法，透過重新安排注意力運算並採用分塊（Tiling）等方式，減少 GPU 高頻寬記憶體與片上記憶體之間的資料讀寫，以及大型中間結果的存取需求，因此能降低記憶體負擔並提升實際運算速度。,FlashAttention 的重點不是「少算一些不重要的權重」，而是同樣的注意力計算，換一種更有效率的資料搬運方式。可以想成廚師不是少做幾道菜，而是把材料先分批放在手邊，不要一直跑倉庫拿材料，整體速度自然變快。所以答案是 B「調整注意力計算與資料處理方式，減少中間結果儲存並改善速度」。
B69,基礎模式,科目一（01）AI 基礎概念與發展,AutoSkill 框架的主要目標為何？,（A）降低對 LLM 的依賴；（B）透過更新參數提升表現；（C）將重複的互動經驗轉化為可重複使用的明確技能模組；（D）透過檢索外部知識改善品質,C｜將重複的互動經驗轉化為可重複使用的明確技能模組,AutoSkill 是一種經驗驅動的終身學習框架，其核心目標是從對話與互動紀錄中自動萃取、維護與重複使用技能，將原本一次性的互動經驗轉化為明確、可組合且可持續更新的技能模組，而不必重新訓練底層大型語言模型。,可以把 AutoSkill 想成「AI 做過的事情不要每次重新學一次，而是整理成可以重複使用的技能」。例如使用者反覆要求某種報告格式，系統可以把這種做法整理成一個 Skill，以後遇到類似任務直接套用並持續修正。因此答案是 C「將重複的互動經驗轉化為可重複使用的明確技能模組」。
B70,基礎模式,科目一（01）AI 基礎概念與發展,關於「弱人工智慧（Narrow AI / Weak AI）」的特點，下列敘述何者最為精確？,（A）具備與人類完全相同的通用智能，能夠在完全未知的環境中自主學習所有新技能與跨領域知識。；（B）能夠自動產生自我意識與情感，並在沒有人類預先設定目標與規則的情況下，決定自己的生存方式。；（C）專注於執行特定的單一或少數任務（如語音辨識、下棋），不具備跨領域的通用推理與自我意識能力。；（D）擁有無限的運算能力，能夠在毫秒內處理世界上所有的數據並完美解決全球經濟與氣候變遷問題。,C｜專注於執行特定的單一或少數任務（如語音辨識、下棋），不具備跨領域的通用推理與自我意識能力。,"弱人工智慧（Narrow AI／Weak AI），亦稱狹義人工智慧（Artificial Narrow Intelligence, ANI），是針對特定任務或有限領域所設計的人工智慧，例如語音辨識、影像分類、推薦系統或棋類 AI。其可在特定任務中具有高度能力，但不具有人類般跨領域的通用推理能力與自我意識。",這題要再次抓住「弱不是能力差，而是能力範圍窄」。例如下棋 AI 可以強到擊敗頂尖棋手，但叫它突然去診斷疾病或規劃公司財務，它不一定做得到。它是某幾項工作的專家，不是什麼都會的通才，所以答案是 C「專注於執行特定的單一或少數任務，不具備跨領域的通用推理與自我意識能力」。
B71,基礎模式,科目一（01）AI 基礎概念與發展,弱人工智慧（Narrow AI）的特點為何？,（A）具備通用推理能力；（B）擁有自我意識；（C）專注於特定單一任務；（D）能跨領域自主學習,C｜專注於特定單一任務,"弱人工智慧（Narrow AI／Weak AI），亦稱狹義人工智慧（Artificial Narrow Intelligence, ANI），是針對特定任務或有限領域所設計的人工智慧系統，通常只能在既定範圍內執行任務，不具備跨領域的通用推理能力與自我意識。",弱人工智慧可以直接想成「專才型 AI」。例如語音辨識很會把聲音轉成文字，但不代表它會自己去學財務、醫療或工程。它的重點是「只專注在特定任務」，所以答案是 C。
B72,基礎模式,科目一（01）AI 基礎概念與發展,人工智慧（AI）的核心發展目標為何？,（A）徹底限制全球數位資料的自動化收集；（B）完全取代世界上所有的人類勞動力；（C）模擬並實現能感知、推理、學習與行動的類人智能行為；（D）阻止傳統軟體工程與科技的進一步發展,C｜模擬並實現能感知、推理、學習與行動的類人智能行為,"人工智慧（Artificial Intelligence, AI）的核心發展目標，是讓機器具備類似人類的感知、學習、推理、判斷與行動能力，以執行原本需要人類智慧才能完成的任務。",AI 的重點不是「把人全部取代」，而是讓機器能做出比較像人類在動腦時會做的事情，例如看懂影像、理解語言、學習經驗、做判斷與採取行動。所以答案是 C「模擬並實現能感知、推理、學習與行動的類人智能行為」。
B73,基礎模式,科目一（01）AI 基礎概念與發展,於 1956 年達特茅斯會議上首次正式提出「人工智慧」一詞的學者是誰？,（A）艾倫·圖靈 (Alan Turing)；（B）馬文·明斯基 (Marvin Minsky)；（C）約翰·麥卡錫 (John McCarthy)；（D）傑夫·辛頓 (Geoffrey Hinton),C｜約翰·麥卡錫 (John McCarthy),約翰·麥卡錫（John McCarthy）於 1955 年提出達特茅斯夏季人工智慧研究計畫的提案，並在 1956 年舉行的達特茅斯會議中正式推動「Artificial Intelligence」作為研究領域名稱，因此被視為人工智慧領域的重要奠基者之一。,這題直接把「1956、達特茅斯、Artificial Intelligence」和 John McCarthy 綁在一起記就可以。圖靈常和「圖靈測試」連在一起，Hinton 則和深度學習發展關係密切，所以答案是 C「約翰·麥卡錫」。
B74,基礎模式,科目一（01）AI 基礎概念與發展,下列何者是「弱人工智慧（Narrow AI）」的典型例子？,（A）專門用於語音助理的 AI；（B）擁有自我意識的機器人；（C）理解所有人類情感的 AI；（D）能自主學習的通用 AI,A｜專門用於語音助理的 AI,弱人工智慧的典型例子是針對單一或有限功能設計的系統，例如語音助理、推薦系統、影像辨識與棋類 AI。這些系統可以在特定任務上表現優異，但不具備真正的通用智能或自我意識。,像語音助理可以幫你查天氣、設鬧鐘、播放音樂，但它的能力還是在預先設計與訓練的範圍內，不是什麼領域都能自己學會。這就是典型的 Narrow AI，所以答案是 A「專門用於語音助理的 AI」。
B75,基礎模式,科目一（01）AI 基礎概念與發展,電腦視覺（Computer Vision）領域的主要任務與目標為何？,（A）處理並翻譯各國文字資料；（B）自動生成流行音樂；（C）讓電腦能「看懂」並理解影像；（D）精準預測未來氣候變化,C｜讓電腦能「看懂」並理解影像,"電腦視覺（Computer Vision, CV）的主要目標，是讓電腦能從圖片與影片中擷取、辨識、分析並理解視覺資訊，常見任務包括影像分類、物件偵測、人臉辨識、影像分割與目標追蹤等。",電腦視覺就是「讓 AI 看懂畫面」。例如給 AI 一張街景照片，它能指出哪裡有人、哪裡有車、哪裡是紅綠燈，代表它不是只收到圖片檔，而是真的在分析圖片裡的內容。所以答案是 C「讓電腦能看懂並理解影像」。
B76,基礎模式,科目一（01）AI 基礎概念與發展,某電子製造公司在產線上導入AI 系統，自動判斷電路板是否存在焊接瑕疵，並取代人工目視檢查。該系統需處理大量產品外觀影像，並在高產量環境下短時間內完成品質判定。下列何者最不符合此應用所展現的AI 核心技術能力？,（A）自然語言處理（Natural Language Processing）；（B）電腦視覺（Computer Vision）；（C）異常偵測（Anomaly Detection）；（D）診斷性分析（Diagnostic Analytics）,A｜自然語言處理（Natural Language Processing）,"此情境主要涉及大量產品影像的自動分析，因此核心技術包括電腦視覺（Computer Vision）與異常偵測（Anomaly Detection），也可透過診斷性分析進一步判斷瑕疵原因；自然語言處理（Natural Language Processing, NLP）主要處理文字與語言資料，與電路板外觀影像瑕疵檢測的核心需求最不相關。",這套 AI 的工作就是「看電路板有沒有焊壞」，所以最重要的是會看影像、找異常。NLP 是處理文字或語言，例如聊天機器人、文章分類、文字摘要，這裡根本沒有語言理解的主要需求。所以最不符合的是 A「自然語言處理」。
B77,基礎模式,科目一（01）AI 基礎概念與發展,在自動化工作流程中，Webhook 是一種由事件觸發、系統會主動回應的機制，請問下列何者最符合此運作邏輯？,（A）你在訂位平台設定「開放提醒」，系統每隔10 分鐘會自動幫你重新查詢各餐廳空位狀況，若有變動再通知你；（B）餐廳將每日訂位與候位資料整理至公開看板，你可以隨時打開查看最新狀態；（C）你在餐廳留下聯絡方式並設定偏好條件，當有符合條件的空位釋出時，餐廳會依照事先約定方式直接將資訊傳送給你；（D）你加入餐廳的會員系統，餐廳會定期寄送電子報，內容包含近期優惠與部分訂位統計資訊,C｜你在餐廳留下聯絡方式並設定偏好條件，當有符合條件的空位釋出時，餐廳會依照事先約定方式直接將資訊傳送給你,Webhook 是一種事件驅動（Event-Driven）的系統整合機制，當特定事件發生時，來源系統會主動將資料或通知傳送至事先指定的端點，而不需要接收端持續輪詢（Polling）查詢是否有更新。,Webhook 可以想成「有事情發生再主動通知我」，而不是你一直去問「有了嗎？有了嗎？」。例如你留下聯絡方式，餐廳一有符合條件的空位就主動把消息送給你，這就是事件觸發後主動推送；每 10 分鐘自己去查一次反而叫輪詢。所以答案是 C。
B78,基礎模式,科目一（01）AI 基礎概念與發展,某公司開發一個AI 助理，能長期記住使用者的重要資訊（例如偏好與歷史需求），並在後續對話中加以利用。系統設計採用Titans 架構的 Memory as Context（MAC）機制，希望模型在回應時能同時參考目前對話與過去記憶。請問在此設計下，長期記憶最可能是下列哪一種使用方式？,（A）將記憶模組整合進模型內部，讓每一層都使用記憶資訊；（B）利用記憶調整模型的注意力強弱，使部分內容被優先關注；（C）將記憶整理成重點內容，與目前輸入一起提供給模型作為額外參考；（D）不使用記憶模組，而是單純增加模型可處理的文字長度,C｜將記憶整理成重點內容，與目前輸入一起提供給模型作為額外參考,Titans 架構中的 Memory as Context（MAC）會根據目前輸入從長期記憶中取回相關歷史資訊，再將該記憶內容與目前輸入及持久記憶一起提供給注意力模組，使模型能同時利用當前上下文與過往資訊進行處理。,MAC 的名字就可以直接拆成「Memory 當成 Context」。例如 AI 記得你以前偏好簡短回答，這次你提出新問題時，它會先把相關的過去記憶找出來，再和你現在講的內容一起交給模型參考。不是把記憶偷偷塞進模型每一層，而是讓「過去記憶＋現在輸入」一起成為上下文，所以答案是 C。
B79,基礎模式,科目一（01）AI 基礎概念與發展,在人工智慧的決策流程中，關於「人在迴圈上（Human-over-the-loop）」機制的運作方式，下列敘述何者最為正確？,（A）系統僅能提供初步的參考建議，必須由人類主動下達命令才能執行決策。；（B）人類完全不參與系統的日常運作，僅在發生系統當機或重大錯誤時接手。；（C）人類平時進行日常監督，於必要時可隨時主動介入修正或干預系統決策。；（D）系統所有的判斷與執行步驟，在送出前皆須經過人類逐一審核與批准後。,C｜人類平時進行日常監督，於必要時可隨時主動介入修正或干預系統決策。,人在迴圈上（Human-over-the-loop）強調 AI 系統可在日常情境中具有一定程度的自主運作能力，而人類負責持續監督系統表現，並保有在必要情況下介入、修正或停止系統決策的能力。,這種方式不是「每一個決定都要人按同意」，而是讓 AI 平常自己跑，人類在上面看著。例如系統每天自動處理大量案件，但管理者如果看到判斷異常，可以立刻介入修改。關鍵就是「日常監督、必要時介入」，所以答案是 C。
B80,基礎模式,科目一（02）資料處理與資料分析,資料團隊準備訓練模型時，發現年齡、年收入與點擊次數的數值尺度差異很大。進行資料正規化最主要的目的為何？,（A）直接減少資料筆數；（B）讓不同尺度的特徵落在可比較的數值範圍；（C）自動消除所有特徵間的相關性；（D）增加資料來源的多樣性,B｜讓不同尺度的特徵落在可比較的數值範圍,資料正規化或特徵縮放（Feature Scaling）的主要目的，是將原本數值尺度差異較大的特徵轉換至較一致或可比較的尺度，避免數值範圍較大的特徵在部分機器學習演算法中產生不成比例的影響。,例如年齡可能是 20～60，年收入可能是幾十萬到幾百萬，點擊次數又可能只有幾十次。如果直接拿去計算，有些模型可能會因為「收入的數字特別大」而受到過多影響。正規化就是把大家調整到比較能公平比較的尺度，所以答案是 B「讓不同尺度的特徵落在可比較的數值範圍」。
B81,基礎模式,科目一（02）資料處理與資料分析,下列哪一種學習方式需要標記資料？,（A）非監督式學習；（B）監督式學習；（C）強化學習；（D）自監督學習,B｜監督式學習,監督式學習（Supervised Learning）需要使用具有標籤（Label）的訓練資料，讓模型學習輸入資料與正確答案之間的對應關係，再用於分類或預測新資料。,監督式學習就像「老師先給題目，也給標準答案」。例如拿很多貓、狗照片訓練 AI，而且每張都先標註「這是貓」或「這是狗」，AI 才能學會怎麼分辨。所以需要標記資料的是 B「監督式學習」。
B82,基礎模式,科目一（02）資料處理與資料分析,大數據的 3V 特徵不包括下列何者？,（A）Volume；（B）Velocity；（C）Variety；（D）Validation,D｜Validation,大數據常見的 3V 特徵包括資料量（Volume）、資料產生與處理速度（Velocity）以及資料類型多樣性（Variety）。Validation 並不屬於傳統大數據 3V 的定義。,3V 可以直接記成「多、快、雜」：Volume 是資料很多，Velocity 是資料來得很快，Variety 是資料種類很多。Validation 是「驗證」，不是 3V 之一，所以答案是 D「Validation」。
B83,基礎模式,科目一（02）資料處理與資料分析,下列何者屬於資料前處理步驟？,（A）模型選擇；（B）正規化；（C）部署模型；（D）監控效能,B｜正規化,資料前處理（Data Preprocessing）是在模型訓練前對原始資料進行整理與轉換，常見步驟包括缺失值處理、資料清理、編碼、正規化與標準化等，以提高資料品質與模型訓練效果。,資料前處理就是「正式丟給 AI 學之前，先把資料整理好」。例如有的欄位數值差很大，就先做正規化，讓資料尺度比較一致。模型選擇、部署和效能監控都是後面的工作，所以答案是 B「正規化」。
B84,基礎模式,科目一（02）資料處理與資料分析,特徵工程的目的為何？,（A）生成新內容；（B）改善模型性能；（C）降低硬體成本；（D）增加資料量,B｜改善模型性能,特徵工程（Feature Engineering）是依據原始資料建立、轉換或篩選適合模型使用的特徵，使資料中的重要資訊更容易被模型學習，主要目的在於提升模型的預測表現與泛化能力。,特徵工程可以想成「把原始資料整理成 AI 更容易看懂的重點」。例如只有出生日期，可以再算出「年齡」這個特徵，可能比直接拿日期更有用。重點不是增加資料量，而是讓資料變得更有意義、讓模型表現更好，所以答案是 B「改善模型性能」。
B85,基礎模式,科目一（02）資料處理與資料分析,模型壓縮的主要目的為何？,（A）降低延遲與資源消耗；（B）增加資料多樣性；（C）提升資料品質；（D）延長訓練時間,A｜降低延遲與資源消耗,模型壓縮（Model Compression）是透過量化（Quantization）、剪枝（Pruning）、知識蒸餾（Knowledge Distillation）等方式，降低模型大小、運算量與記憶體需求，以減少推論延遲與硬體資源消耗。,模型壓縮就是「讓 AI 變得比較輕」。例如原本模型太大，手機跑不動，就透過壓縮讓它少占記憶體、算得更快，也比較適合部署在手機或邊緣裝置上。所以答案是 A「降低延遲與資源消耗」。
B86,基礎模式,科目一（02）資料處理與資料分析,資料標註的主要挑戰為何？,（A）成本與時間高；（B）模型效能低；（C）無法部署；（D）資料格式單一,A｜成本與時間高,資料標註（Data Labeling）需要由人工或專業人員替資料加上正確標籤，例如標示圖片中的物件、文字情緒或語音內容。當資料量龐大時，標註工作通常需要投入大量人力、時間與成本，因此是監督式學習資料準備的重要挑戰之一。,資料標註可以想成「先幫 AI 把答案寫好」。例如有 10 萬張照片，要一張一張標成「貓、狗、汽車、行人」，非常花時間，也需要很多人力。如果資料還需要專家判斷，例如醫療影像，成本會更高。所以答案是 A「成本與時間高」。
B87,基礎模式,科目一（02）資料處理與資料分析,若資料科學家對數值欄位採用 Z-score 標準化（Standardization），轉換後的特徵通常會具備何種性質？,（A）平均值約為 0、標準差約為 1；（B）所有數值被壓縮到 0 到 1 的固定範圍；（C）所有類別欄位被轉成 one-hot 向量；（D）所有離群值都會被自動刪除,A｜平均值約為 0、標準差約為 1,Z-score 標準化（Standardization）是將數值依其平均值與標準差進行轉換，常用公式為 z=(x−μ)/σ。轉換後的資料通常具有平均值約為 0、標準差約為 1 的特性。,Z-score 可以想成「看每個數值距離平均值有幾個標準差」。做完之後，整批資料的中心會移到大約 0，標準差大約變成 1。要注意，這和把數字壓到 0～1 的正規化不一樣，所以答案是 A「平均值約為 0、標準差約為 1」。
B88,基礎模式,科目一（02）資料處理與資料分析,資料清理的主要目的為何？,（A）移除錯誤與不一致的資料；（B）增加資料量；（C）降低模型精度；（D）刪除正確資料,A｜移除錯誤與不一致的資料,資料清理（Data Cleaning）的主要目的，是辨識並處理資料中的錯誤、缺失、重複、不一致或異常內容，以提升資料品質，避免低品質資料影響後續分析與模型訓練結果。,資料清理就是「把髒資料整理乾淨」。例如年齡欄位有人填成 250 歲、同一筆顧客資料重複兩次，或性別欄有人寫「M」、有人寫「男」，這些都要先處理。目的不是增加資料，而是讓資料正確、一致，所以答案是 A「移除錯誤與不一致的資料」。
B89,基礎模式,科目一（02）資料處理與資料分析,長短期記憶網路（LSTM）主要解決下列何種問題？,（A）長序列依賴問題；（B）資料清理；（C）資料壓縮；（D）特徵冗餘,A｜長序列依賴問題,"長短期記憶網路（Long Short-Term Memory, LSTM）是循環神經網路（RNN）的延伸架構，透過閘門機制改善傳統 RNN 在長序列中容易發生的梯度消失問題，使模型較能保留與利用較早期的重要資訊，以處理長期依賴（Long-Term Dependency）。",LSTM 的重點就是「不要講到後面，就把前面重要的東西忘光」。例如讀一篇很長的文章時，後面的句子可能還需要用到前面出現的人名或事件，LSTM 就是為了解決這種長序列資訊難以保留的問題。所以答案是 A「長序列依賴問題」。
B90,基礎模式,科目一（02）資料處理與資料分析,資料正規化的目的為何？,（A）將數據縮放至固定範圍；（B）增加特徵數量；（C）減少資料類別；（D）刪除重複資料,A｜將數據縮放至固定範圍,資料正規化（Normalization）通常是將不同尺度的數值特徵縮放至固定範圍，例如使用 Min-Max Scaling 將資料轉換至 0～1，以減少不同數值尺度對模型訓練造成的影響。,正規化就是「把原本大小差很多的數字縮到同一個範圍」。例如年收入可能是幾百萬，年齡只有幾十，如果都縮到 0～1，就比較容易讓模型公平處理各個特徵。這題要和上一題 Z-score 分清楚：Z-score 是平均 0、標準差 1；正規化常見的是縮到固定範圍。所以答案是 A「將數據縮放至固定範圍」。
B91,基礎模式,科目一（02）資料處理與資料分析,資料標準化的作用為何？,（A）使資料均值為 0、標準差為 1；（B）刪除重複資料；（C）合併資料表；（D）減少資料大小,A｜使資料均值為 0、標準差為 1,資料標準化（Standardization）是將數值資料依平均值與標準差進行轉換，使轉換後的資料通常具有平均值約為 0、標準差約為 1 的特性，降低不同尺度特徵對模型訓練造成的影響。,標準化可以想成「把不同單位的資料拉到比較公平的尺度」。例如年齡只有幾十，收入可能幾十萬，直接比較差很多；標準化後會讓資料以平均值 0、標準差 1 為基準重新表示。所以答案是「使資料均值為 0、標準差為 1」。
B92,基礎模式,科目一（02）資料處理與資料分析,批次正規化（Batch Normalization）的作用為何？,（A）加速訓練並穩定模型；（B）減少資料量；（C）增加特徵數量；（D）減少網路層數,A｜加速訓練並穩定模型,"批次正規化（Batch Normalization, BatchNorm）是在神經網路訓練過程中，對一個批次（Batch）的中間輸出進行標準化與重新調整，可改善訓練穩定性，並常能加快模型收斂速度。",Batch Normalization 可以想成「每訓練一小批資料，就先把中間數值整理一下」。這樣不同批資料進入網路時，不容易一下變得太大、一下變得太小，模型會比較穩定，也通常比較快學好。所以答案是「加速訓練並穩定模型」。
B93,基礎模式,科目一（02）資料處理與資料分析,異常值檢測的主要目的為何？,（A）找出與其他資料顯著不同的數據點；（B）刪除重複資料；（C）合併相似資料；（D）降低資料維度,A｜找出與其他資料顯著不同的數據點,異常值檢測（Outlier Detection／Anomaly Detection）的主要目的，是辨識與大多數資料分布或行為模式顯著不同的資料點，以找出可能的錯誤、異常事件或特殊情況。,異常值就是「跟大家明顯不一樣的資料」。例如班上大多數人的身高是 150～190 公分，結果某筆資料寫成 850 公分，這筆就非常可疑。異常值檢測就是把這種不尋常的資料找出來，所以答案是「找出與其他資料顯著不同的數據點」。
B94,基礎模式,科目一（02）資料處理與資料分析,資料探勘的主要目的為何？,（A）發現數據中的模式與知識；（B）刪除無用資料；（C）隨機生成數據；（D）加密數據,A｜發現數據中的模式與知識,資料探勘（Data Mining）是從大量資料中運用統計、機器學習與資料分析方法，發掘具有價值的模式、關聯、趨勢與知識，以支援預測與決策。,資料探勘可以想成「從一大堆資料裡挖出有用的東西」。例如超商分析交易紀錄後，發現某些商品常被一起購買，這就是從資料中找到原本不明顯的規律。所以答案是「發現數據中的模式與知識」。
B95,基礎模式,科目一（02）資料處理與資料分析,AI 為何需要大數據？,（A）提供足夠的訓練資料；（B）減少模型複雜度；（C）降低硬體成本；（D）避免演算法更新,A｜提供足夠的訓練資料,大量且具代表性的資料可提供 AI 模型足夠的訓練範例，使模型學習資料中的規律、特徵與不同情境，提高預測能力與泛化能力；但資料品質與代表性同樣重要，並非單純資料越多越好。,AI 就像學生，要看過足夠多的例子才比較容易學會規律。例如只給 AI 十張貓的照片，它可能學不好；如果有大量而且多樣的貓照片，就比較能辨認不同品種、角度與環境下的貓。所以答案是「提供足夠的訓練資料」。
B96,基礎模式,科目一（02）資料處理與資料分析,資料正規化的目的為何？,（A）加快模型收斂；（B）減慢訓練速度；（C）隨機生成數據；（D）刪除正確數據,A｜加快模型收斂,資料正規化（Normalization）是將不同尺度的數值特徵轉換至相近或固定的數值範圍，以降低特徵尺度差異對模型訓練造成的影響，並常有助於梯度式演算法更穩定且更快地收斂。,正規化可以想成「先把不同大小的數字整理到差不多的尺度，再讓 AI 學」。例如一個欄位只有 0～100，另一個卻是幾十萬，差距太大可能讓模型不好學；縮放後通常能讓訓練更順、收斂更快。所以答案是「加快模型收斂」。
B97,基礎模式,科目一（02）資料處理與資料分析,下列哪一種學習方法最需要大量的資料標註？,（A）監督式學習；（B）非監督式學習；（C）強化學習；（D）隨機學習,A｜監督式學習,監督式學習（Supervised Learning）需要以具有正確標籤（Label）的資料進行訓練，因此在大量影像、文字或語音資料的應用中，往往需要投入大量人力與成本進行資料標註。,監督式學習就像「每一題都要先準備標準答案給 AI 看」。例如 10 萬張照片都要先標成「貓、狗、汽車」等類別，AI 才能學習，因此資料越多，標註工作就越龐大。所以答案是「監督式學習」。
