id,mode,source,exam,subject,scope,type,question_no,question,option_a,option_b,option_c,option_d,answer_letter,answer_text,explanation,guide_subject,guide_chapter,guide_pdf_page,notes
B301,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜資料處理與分析概念,科目一｜資料處理與分析概念,單選題,301,相關係數為-1 表示？,完全負相關,無相關,完全正相關,部分相關,A,完全負相關,這題的正確答案是「完全負相關」。資料處理與分析是 AI 導入前的基礎工作。它的重點是把資料蒐集、清理、轉換、整理與分析到適合模型或決策使用的狀態。所以題目如果問資料品質、欄位處理、分析流程或資料視覺化，就要回到資料處理的目的來判斷。因此，「完全負相關」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.2 資料處理與分析概念,3-24 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B302,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜機器學習概念,科目一｜機器學習概念,單選題,302,描述資料集中趨勢的指標不包含？,中位數,平均數,標準差,眾數,C,標準差,這題的正確答案是「標準差」。機器學習是人工智慧中的重要方法，重點是讓模型從資料中學習規律。它可以用來分類、預測、分群或找出資料模式；題目中的答案通常是某個訓練、評估或應用的小概念。所以作答時要先判斷題目在問資料、模型、訓練方式，還是評估指標。因此，「標準差」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.3 機器學習概念,3-33 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B303,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜資料處理與分析概念,科目一｜資料處理與分析概念,單選題,303,標準差的平方為何？,變異數,平均數,四分位距,偏態,A,變異數,這題的正確答案是「變異數」。偏差與變異權衡屬於機器學習模型泛化能力的核心概念。偏差太高容易欠擬合，變異太高容易過擬合；好的模型需要在兩者之間取得平衡。所以題目如果問避免過擬合或欠擬合的取捨，就要連到偏差與變異權衡。因此，「變異數」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.2 資料處理與分析概念,3-24 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B304,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜資料處理與分析概念,科目一｜資料處理與分析概念,單選題,304,何謂峰態係數？,測量分布尖峰程度,測量分布偏態,測量變數相關性,測量資料集中趨勢,A,測量分布尖峰程度,這題的正確答案是「測量分布尖峰程度」。資料處理與分析是 AI 導入前的基礎工作。它的重點是把資料蒐集、清理、轉換、整理與分析到適合模型或決策使用的狀態。所以題目如果問資料品質、欄位處理、分析流程或資料視覺化，就要回到資料處理的目的來判斷。因此，「測量分布尖峰程度」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.2 資料處理與分析概念,3-24 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B305,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜機器學習概念,科目一｜機器學習概念,單選題,305,哪個指標不適合用來描述類別資料的集中趨勢？,眾數,中位數,平均數,相關係數,C,平均數,這題是反向判斷題，正確答案是「平均數」。機器學習是人工智慧中的重要方法，重點是讓模型從資料中學習規律。它可以用來分類、預測、分群或找出資料模式；題目中的答案通常是某個訓練、評估或應用的小概念。所以作答時要先判斷題目在問資料、模型、訓練方式，還是評估指標。因為題目要找的是「不屬於、較不符合或不正確」的選項，所以「平均數」才是本題要選的答案。,科目一｜人工智慧基礎概論,3.3 機器學習概念,3-33 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B306,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜機器學習概念,科目一｜機器學習概念,單選題,306,下列何者為描述資料分散程度的方法？,中位數,眾數,四分位距,平均數,C,四分位距,這題的正確答案是「四分位距」。機器學習是人工智慧中的重要方法，重點是讓模型從資料中學習規律。它可以用來分類、預測、分群或找出資料模式；題目中的答案通常是某個訓練、評估或應用的小概念。所以作答時要先判斷題目在問資料、模型、訓練方式，還是評估指標。因此，「四分位距」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.3 機器學習概念,3-33 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B307,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目二｜生成式 AI 導入評估規劃,科目二｜生成式 AI 導入評估規劃,單選題,307,依 EU AI Act 的風險分類，下列哪一類 AI 系統可能被列為禁止使用？,醫療輔助AI,心理操控型AI,聊天機器人,教育輔助AI,B,心理操控型AI,這題的正確答案是「心理操控型AI」。鑑別式 AI 是和生成式 AI 相對的任務類型，重點不是產生新內容。它主要根據輸入資料做分類、判斷、偵測或預測，例如判斷是否詐欺、是否垃圾郵件、或某筆資料屬於哪一類。所以題目如果問判斷資料類別、偵測結果或預測風險，就要連到鑑別式 AI。因此，「心理操控型AI」最能直接回應題目所問。,科目二｜生成式 AI 應用與規劃,3.3 生成式 AI 導入評估規劃,3-31 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B308,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目二｜生成式 AI 導入評估規劃,科目二｜生成式 AI 導入評估規劃,單選題,308,政府在使用生成式 AI 提供服務時，應優先做到哪項揭露？,不需任何揭露,揭露 AI 所屬供應商,揭露使用 AI 作為輔助工具,僅在有人詢問時揭露,C,揭露使用 AI 作為輔助工具,這題的正確答案是「揭露使用 AI 作為輔助工具」。生成式 AI 是大範圍概念，重點是產生新的內容，而不只是分類或預測。它可以依照提示或條件產生文字、圖片、聲音、影片、程式碼或設計草稿；若題目答案是其中一種應用，就要看它是否真的在產生新內容。所以題目如果問生成式 AI 的應用，要先判斷該選項是不是以內容生成為核心。因此，「揭露使用 AI 作為輔助工具」最能直接回應題目所問。,科目二｜生成式 AI 應用與規劃,3.3 生成式 AI 導入評估規劃,3-31 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B309,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目二｜生成式 AI 導入評估規劃,科目二｜生成式 AI 導入評估規劃,單選題,309,金融機構外包第三方導入 AI 時，最重要的契約措施為何？,只口頭約定即可,不需明訂責任,簽訂書面合約並訂明責任與追溯,僅需看第三方聲明,C,簽訂書面合約並訂明責任與追溯,這題的正確答案是「簽訂書面合約並訂明責任與追溯」。AI 治理屬於 AI 導入與管理的大概念。它的重點是讓 AI 系統在設計、部署與使用時兼顧公平性、透明度、可解釋性、責任歸屬、隱私與風險控管。所以題目如果問制度、規範、監督或風險控管，就要從治理角度判斷。因此，「簽訂書面合約並訂明責任與追溯」最能直接回應題目所問。,科目二｜生成式 AI 應用與規劃,3.3 生成式 AI 導入評估規劃,3-31 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B310,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目二｜生成式 AI 導入評估規劃,科目二｜生成式 AI 導入評估規劃,單選題,310,執法類 AI（如臉部辨識執法）通常屬於哪種風險分級？,低風險,受限風險,高風險,禁止類,C,高風險,這題的正確答案是「高風險」。生成式 AI 是大範圍概念，重點是產生新的內容，而不只是分類或預測。它可以依照提示或條件產生文字、圖片、聲音、影片、程式碼或設計草稿；若題目答案是其中一種應用，就要看它是否真的在產生新內容。所以題目如果問生成式 AI 的應用，要先判斷該選項是不是以內容生成為核心。因此，「高風險」最能直接回應題目所問。,科目二｜生成式 AI 應用與規劃,3.3 生成式 AI 導入評估規劃,3-31 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B311,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目二｜生成式 AI 導入評估規劃,科目二｜生成式 AI 導入評估規劃,單選題,311,AI 治理三大核心通常包括哪三項？,透明性、公平性、可控性,速度、成本、效能,安全、效能、便利,資料量、速度、多樣性,A,透明性、公平性、可控性,這題的正確答案是「透明性、公平性、可控性」。AI 治理屬於 AI 導入與管理的大概念。它的重點是讓 AI 系統在設計、部署與使用時兼顧公平性、透明度、可解釋性、責任歸屬、隱私與風險控管。所以題目如果問制度、規範、監督或風險控管，就要從治理角度判斷。因此，「透明性、公平性、可控性」最能直接回應題目所問。,科目二｜生成式 AI 應用與規劃,3.3 生成式 AI 導入評估規劃,3-31 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B312,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目二｜生成式 AI 導入評估規劃,科目二｜生成式 AI 導入評估規劃,單選題,312,若政府要將機密公文輸入公開雲端生成式 AI，最安全的做法是？,直接上傳以加速處理,先去識別化或禁用輸入機密,只輸入全文不加保護,由系統自動判斷是否機密,B,先去識別化或禁用輸入機密,這題的正確答案是「先去識別化或禁用輸入機密」。去識別化屬於資料隱私保護中的小概念。它會移除或遮蔽姓名、身分證字號、電話等可直接識別個人的資料，降低資料使用時的隱私風險。所以題目如果問如何降低個資辨識風險，就要連到去識別化。因此，「先去識別化或禁用輸入機密」最能直接回應題目所問。,科目二｜生成式 AI 應用與規劃,3.3 生成式 AI 導入評估規劃,3-31 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B313,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目二｜生成式 AI 導入評估規劃,科目二｜生成式 AI 導入評估規劃,單選題,313,金融業使用 AI 提供消費者服務，應優先遵守下列何項原則？,效率最大化,成本最小化,揭露與消費者保護,技術創新優先,C,揭露與消費者保護,這題的正確答案是「揭露與消費者保護」。生成式 AI 是大範圍概念，重點是產生新的內容，而不只是分類或預測。它可以依照提示或條件產生文字、圖片、聲音、影片、程式碼或設計草稿；若題目答案是其中一種應用，就要看它是否真的在產生新內容。所以題目如果問生成式 AI 的應用，要先判斷該選項是不是以內容生成為核心。因此，「揭露與消費者保護」最能直接回應題目所問。,科目二｜生成式 AI 應用與規劃,3.3 生成式 AI 導入評估規劃,3-31 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B314,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目二｜生成式 AI 導入評估規劃,科目二｜生成式 AI 導入評估規劃,單選題,314,AI 風險分類常見的三個級別為何？,高/中/低,嚴重/中/輕,關鍵/次要/無,A/B/C,A,高/中/低,這題的正確答案是「高/中/低」。鑑別式 AI 是和生成式 AI 相對的任務類型，重點不是產生新內容。它主要根據輸入資料做分類、判斷、偵測或預測，例如判斷是否詐欺、是否垃圾郵件、或某筆資料屬於哪一類。所以題目如果問判斷資料類別、偵測結果或預測風險，就要連到鑑別式 AI。因此，「高/中/低」最能直接回應題目所問。,科目二｜生成式 AI 應用與規劃,3.3 生成式 AI 導入評估規劃,3-31 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B315,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜人工智慧概念,科目一｜人工智慧概念,單選題,315,人工智慧（AI）的主要目標為何？,提升硬體速度,讓機器執行需人類智慧的任務,完全取代人類,只做數據儲存,B,讓機器執行需人類智慧的任務,這題的正確答案是「讓機器執行需人類智慧的任務」。人工智慧概念是理解 AI 應用前的大範圍基礎。它包含 AI 定義、任務類型、治理、人機協作與不同 AI 系統的能力邊界。所以題目如果問基本特徵、制度或角色分工，就要先看它屬於哪個 AI 基礎概念。因此，「讓機器執行需人類智慧的任務」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.1 人工智慧概念,3-1 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B316,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目二｜生成式 AI 應用領域與工具使用,科目二｜生成式 AI 應用領域與工具使用,單選題,316,「生成式 AI」與「鑑別式 AI」主要差別為何？,生成式用於分類，鑑別式用於生成,生成式用於生成內容，鑑別式用於判別或分類,兩者沒有差別,僅技術實作不同,B,生成式用於生成內容，鑑別式用於判別或分類,這題的正確答案是「生成式用於生成內容，鑑別式用於判別或分類」。鑑別式 AI 是和生成式 AI 相對的任務類型，重點不是產生新內容。它主要根據輸入資料做分類、判斷、偵測或預測，例如判斷是否詐欺、是否垃圾郵件、或某筆資料屬於哪一類。所以題目如果問判斷資料類別、偵測結果或預測風險，就要連到鑑別式 AI。因此，「生成式用於生成內容，鑑別式用於判別或分類」最能直接回應題目所問。,科目二｜生成式 AI 應用與規劃,3.2 生成式 AI 應用領域與工具使用,3-17 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B317,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜機器學習概念,科目一｜機器學習概念,單選題,317,監督式學習主要需要下列哪一類資料？,未標註資料,已標註資料,合成資料,隨機噪音,B,已標註資料,這題的正確答案是「已標註資料」。監督式學習屬於機器學習中的基本類型。它使用已知答案或標籤的資料訓練模型，讓模型學會從輸入資料預測正確分類或數值結果。所以題目如果強調已標記資料、已知答案或用標籤訓練，就要連到監督式學習。因此，「已標註資料」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.3 機器學習概念,3-33 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B318,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜機器學習概念,科目一｜機器學習概念,單選題,318,非監督式學習通常用於哪種任務？,分類（有標籤）,聚類與結構探索（無標籤）,回歸預測（有標籤）,強化策略學習,B,聚類與結構探索（無標籤）,這題的正確答案是「聚類與結構探索（無標籤）」。監督式學習屬於機器學習中的基本類型。它使用已知答案或標籤的資料訓練模型，讓模型學會從輸入資料預測正確分類或數值結果。所以題目如果強調已標記資料、已知答案或用標籤訓練，就要連到監督式學習。因此，「聚類與結構探索（無標籤）」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.3 機器學習概念,3-33 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B319,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜機器學習概念,科目一｜機器學習概念,單選題,319,要建立垃圾郵件分類器，最佳的學習方式為何？,非監督式學習,監督式學習,強化學習,自監督學習,B,監督式學習,這題的正確答案是「監督式學習」。鑑別式 AI 是和生成式 AI 相對的任務類型，重點不是產生新內容。它主要根據輸入資料做分類、判斷、偵測或預測，例如判斷是否詐欺、是否垃圾郵件、或某筆資料屬於哪一類。所以題目如果問判斷資料類別、偵測結果或預測風險，就要連到鑑別式 AI。因此，「監督式學習」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.3 機器學習概念,3-33 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B320,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目二｜生成式 AI 應用領域與工具使用,科目二｜生成式 AI 應用領域與工具使用,單選題,320,強化學習的核心概念為何？,用標籤訓練模型,透過獎勵與懲罰學習最佳策略,僅靠無監督資料,直接用規則寫死策略,B,透過獎勵與懲罰學習最佳策略,這題的正確答案是「透過獎勵與懲罰學習最佳策略」。生成式 AI 是大範圍概念，重點是產生新的內容，而不只是分類或預測。它可以依照提示或條件產生文字、圖片、聲音、影片、程式碼或設計草稿；若題目答案是其中一種應用，就要看它是否真的在產生新內容。所以題目如果問生成式 AI 的應用，要先判斷該選項是不是以內容生成為核心。因此，「透過獎勵與懲罰學習最佳策略」最能直接回應題目所問。,科目二｜生成式 AI 應用與規劃,3.2 生成式 AI 應用領域與工具使用,3-17 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B321,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜機器學習概念,科目一｜機器學習概念,單選題,321,過擬合（overfitting）表示下列何種情況？,模型表現在訓練集與測試集一樣好,模型在訓練集表現好但在測試集表現差,模型訓練時間太長,資料量太大,B,模型在訓練集表現好但在測試集表現差,這題的正確答案是「模型在訓練集表現好但在測試集表現差」。過擬合屬於機器學習模型訓練中的常見問題。它指模型太記住訓練資料的細節，導致訓練表現很好，但遇到新資料或測試資料時表現變差。所以題目如果問模型太複雜或泛化能力變差，就要連到過擬合。因此，「模型在訓練集表現好但在測試集表現差」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.3 機器學習概念,3-33 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B322,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜機器學習概念,科目一｜機器學習概念,單選題,322,深度學習（Deep Learning）與傳統 ML 的主要差異為何？,深度學習需較少資料,深度學習能自動從原始資料學習特徵,深度學習不需運算資源,深度學習只用於表格資料,B,深度學習能自動從原始資料學習特徵,這題的正確答案是「深度學習能自動從原始資料學習特徵」。機器學習是人工智慧中的重要方法，重點是讓模型從資料中學習規律。它可以用來分類、預測、分群或找出資料模式；題目中的答案通常是某個訓練、評估或應用的小概念。所以作答時要先判斷題目在問資料、模型、訓練方式，還是評估指標。因此，「深度學習能自動從原始資料學習特徵」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.3 機器學習概念,3-33 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B323,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜機器學習概念,科目一｜機器學習概念,單選題,323,卷積神經網路（CNN）主要適用於下列哪一類任務？,時間序列預測,影像辨識,文字翻譯,語音生成,B,影像辨識,這題的正確答案是「影像辨識」。CNN 屬於機器學習與深度學習中的影像處理模型。它會透過卷積運算擷取圖片中的邊緣、形狀與紋理等局部特徵，因此常用於影像辨識。所以題目如果問最適合處理圖片或圖像辨識的模型，就要連到 CNN。因此，「影像辨識」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.3 機器學習概念,3-33 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B324,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜機器學習概念,科目一｜機器學習概念,單選題,324,RNN／LSTM 類模型適合處理下列哪一種類型的資料？,靜態影像,序列資料（如語音、文字）,結構化資料表,純隨機噪音,B,序列資料（如語音、文字）,這題的正確答案是「序列資料（如語音、文字）」。機器學習是人工智慧中的重要方法，重點是讓模型從資料中學習規律。它可以用來分類、預測、分群或找出資料模式；題目中的答案通常是某個訓練、評估或應用的小概念。所以作答時要先判斷題目在問資料、模型、訓練方式，還是評估指標。因此，「序列資料（如語音、文字）」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.3 機器學習概念,3-33 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B325,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜機器學習概念,科目一｜機器學習概念,單選題,325,Transformer 架構的主要優勢為何？,只能處理短序列,並行運算與強大的長距離依賴建模,必須使用卷積層,不適用於 NLP,B,並行運算與強大的長距離依賴建模,這題的正確答案是「並行運算與強大的長距離依賴建模」。Transformer 屬於自然語言處理與大型語言模型的重要架構。它利用注意力機制處理序列資料，能掌握詞語之間較長距離的關係，因此很適合語言理解與生成任務。所以題目如果問 NLP 中處理上下文、語境或長距離依賴的能力，就要連到 Transformer。因此，「並行運算與強大的長距離依賴建模」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.3 機器學習概念,3-33 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B326,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜機器學習概念,科目一｜機器學習概念,單選題,326,Tokenization（斷詞/分詞）的主要目的為何？,壓縮檔案,將文本切成模型可處理的最小單位,提升圖像品質,加速網路傳輸,B,將文本切成模型可處理的最小單位,這題的正確答案是「將文本切成模型可處理的最小單位」。API 與 Token 成本屬於生成式 AI 系統導入與營運成本中的小概念。API 是系統呼叫模型服務的介面，Token 則常用來計算文字輸入與輸出的使用量與費用。所以題目如果強調模型呼叫、用量費、推理成本或系統串接，就要連到 API 與 Token。因此，「將文本切成模型可處理的最小單位」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.3 機器學習概念,3-33 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B327,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目二｜生成式 AI 應用領域與工具使用,科目二｜生成式 AI 應用領域與工具使用,單選題,327,大型語言模型（LLM）最擅長的任務屬於哪一類？,圖像語義分割,文本生成與語言理解,低層硬體控制,影片編碼,B,文本生成與語言理解,這題的正確答案是「文本生成與語言理解」。大型語言模型屬於生成式 AI 的重要技術基礎，主要處理與產生自然語言內容。LLM 透過大量文字資料學習語言規律，可以進行摘要、問答、草擬、推理輔助與對話互動。所以題目如果強調文字理解、回答生成、任務步驟推理或語言互動，就要從大型語言模型來判斷。因此，「文本生成與語言理解」最能直接回應題目所問。,科目二｜生成式 AI 應用與規劃,3.2 生成式 AI 應用領域與工具使用,3-17 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B328,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目二｜生成式 AI 應用領域與工具使用,科目二｜生成式 AI 應用領域與工具使用,單選題,328,在 Prompt 設計中，加入上下文（context）的作用為何？,增加運算成本,引導模型產生與上下文一致的回應,縮短回答,減少訓練資料,B,引導模型產生與上下文一致的回應,這題的正確答案是「引導模型產生與上下文一致的回應」。生成式 AI 是大範圍概念，重點是產生新的內容，而不只是分類或預測。它可以依照提示或條件產生文字、圖片、聲音、影片、程式碼或設計草稿；若題目答案是其中一種應用，就要看它是否真的在產生新內容。所以題目如果問生成式 AI 的應用，要先判斷該選項是不是以內容生成為核心。因此，「引導模型產生與上下文一致的回應」最能直接回應題目所問。,科目二｜生成式 AI 應用與規劃,3.2 生成式 AI 應用領域與工具使用,3-17 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B329,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目二｜生成式 AI 應用領域與工具使用,科目二｜生成式 AI 應用領域與工具使用,單選題,329,影響生成式模型回應多樣性的一個常見參數為何？,學習率,溫度（temperature）,批次大小,層數,B,溫度（temperature）,這題的正確答案是「溫度（temperature）」。生成式 AI 是大範圍概念，重點是產生新的內容，而不只是分類或預測。它可以依照提示或條件產生文字、圖片、聲音、影片、程式碼或設計草稿；若題目答案是其中一種應用，就要看它是否真的在產生新內容。所以題目如果問生成式 AI 的應用，要先判斷該選項是不是以內容生成為核心。因此，「溫度（temperature）」最能直接回應題目所問。,科目二｜生成式 AI 應用與規劃,3.2 生成式 AI 應用領域與工具使用,3-17 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B330,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜機器學習概念,科目一｜機器學習概念,單選題,330,在工廠用影像檢測產品缺陷，最合適的 AI 技術為何？,自然語言處理,電腦視覺（Computer Vision）,強化學習,關鍵字搜尋,B,電腦視覺（Computer Vision）,這題的正確答案是「電腦視覺（Computer Vision）」。機器學習是人工智慧中的重要方法，重點是讓模型從資料中學習規律。它可以用來分類、預測、分群或找出資料模式；題目中的答案通常是某個訓練、評估或應用的小概念。所以作答時要先判斷題目在問資料、模型、訓練方式，還是評估指標。因此，「電腦視覺（Computer Vision）」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.3 機器學習概念,3-33 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B331,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目一｜機器學習概念,科目一｜機器學習概念,單選題,331,要偵測行車影像中的行人與車輛，通常採用？,影像分類與物件偵測模型,純文本模型,聲音辨識,推薦系統,A,影像分類與物件偵測模型,這題的正確答案是「影像分類與物件偵測模型」。鑑別式 AI 是和生成式 AI 相對的任務類型，重點不是產生新內容。它主要根據輸入資料做分類、判斷、偵測或預測，例如判斷是否詐欺、是否垃圾郵件、或某筆資料屬於哪一類。所以題目如果問判斷資料類別、偵測結果或預測風險，就要連到鑑別式 AI。因此，「影像分類與物件偵測模型」最能直接回應題目所問。,科目一｜人工智慧基礎概論,3.3 機器學習概念,3-33 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B332,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目二｜生成式 AI 應用領域與工具使用,科目二｜生成式 AI 應用領域與工具使用,單選題,332,GAN（生成對抗網路）由哪兩部分組成？,編碼器與解碼器,生成器與判別器,輸入層與輸出層,特徵提取器與分類器,B,生成器與判別器,這題的正確答案是「生成器與判別器」。生成式 AI 是大範圍概念，重點是產生新的內容，而不只是分類或預測。它可以依照提示或條件產生文字、圖片、聲音、影片、程式碼或設計草稿；若題目答案是其中一種應用，就要看它是否真的在產生新內容。所以題目如果問生成式 AI 的應用，要先判斷該選項是不是以內容生成為核心。因此，「生成器與判別器」最能直接回應題目所問。,科目二｜生成式 AI 應用與規劃,3.2 生成式 AI 應用領域與工具使用,3-17 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
B333,基礎學習模式,第三方教師／工程師整理練習題庫（非 iPAS 官方公告試題）,基礎學習模式｜1265 題,科目二｜生成式 AI 應用領域與工具使用,科目二｜生成式 AI 應用領域與工具使用,單選題,333,擴散模型（Diffusion Model）常用於下列何項應用？,高品質影像生成,即時控制系統,資料庫查詢,排程系統,A,高品質影像生成,這題的正確答案是「高品質影像生成」。擴散模型屬於生成式 AI 裡常見的影像生成方法，不是生成式 AI 這個大類本身。它的概念是先把影像逐步加入雜訊，再訓練模型學會反向去除雜訊，最後從雜訊產生清楚圖片。所以題目如果問擴散模型在影像生成上的應用，就會指向 AI 作畫、圖片生成或影像創作。因此，「高品質影像生成」最能直接回應題目所問。,科目二｜生成式 AI 應用與規劃,3.2 生成式 AI 應用領域與工具使用,3-17 起,AI 教學詳解為讀書輔助；本題庫非 iPAS 官方公告試題。
