題號,模式,範圍,題目,選擇題,答案,官方解釋,教師解釋
O41,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,一家旅遊平台希望建立模型，預測顧客下次是否會再次透過該平台訂房。資料包含：顧客 ID、年齡、旅遊次數、平均花費金額、主要交通方式（火車/飛機/自駕/公車）、會員等級（普通/進階/白金）、是否為海外旅遊等。下列哪一種特徵工程方法最適合處理「主要交通方式」欄位？,（A）布林轉換（Boolean Conversion）；（B）序數編碼（Ordinal Encoding）；（C）數值標準化（Numerical Standardization）；（D）One-hot 編碼（One-hot Encoding）,D｜One-hot 編碼（One-hot Encoding）,「主要交通方式」屬於名目型類別變數（Nominal Categorical Variable），不同交通方式之間沒有自然的大小或順序關係，因此適合使用 One-hot Encoding，將火車、飛機、自駕、公車等類別分別轉換成獨立的二元欄位，避免模型誤以為類別之間存在數值高低關係。因此答案是（D）。,可以把這題想成「交通方式只有種類不同，沒有誰比誰高一級」。如果把火車編成 1、飛機編成 2、自駕編成 3、公車編成 4，模型可能誤以為公車「比飛機大兩倍」或存在順序關係，這就不合理。One-hot Encoding 會變成「是否搭火車」、「是否搭飛機」、「是否自駕」、「是否搭公車」等欄位。**沒有順序的類別資料＝One-hot Encoding。**所以答案是（D）。
O42,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,一家跨國醫療研究機構希望利用各地醫院的病患資料，建立一個能夠預測疾病早期風險的機器學習模型。由於各國法規限制，病患的原始資料無法集中到單一伺服器。在此情境下，下列哪一種方法最能同時滿足「各醫院保留資料不外流」與「模型仍能跨院學習」的需求？,（A）資料匿名化（Data Anonymization）；（B）差分隱私（Differential Privacy）；（C）聯邦學習（Federated Learning）；（D）交叉驗證（Cross-validation）,C｜聯邦學習（Federated Learning）,聯邦學習（Federated Learning）可讓不同醫院在各自本地端使用自己的病患資料訓練模型，再將模型更新資訊傳送至中央端進行聚合，而不需要直接集中或交換原始病患資料。這能在保留資料於各醫院的前提下進行跨機構共同學習，因此答案是（C）。,可以把 Federated Learning 想成「資料不搬家，模型去各地學習」。例如台灣、日本、美國的醫院各自用本院病患資料訓練，之後只交換模型更新結果，再整合成共同模型，而不是把病歷全部上傳到同一台伺服器。資料匿名化或差分隱私也能協助保護隱私，但它們本身不是讓多家醫院共同訓練模型的主要架構。**原始資料留在本地＋跨院共同訓練＝Federated Learning。**所以答案是（C）。
O43,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,某公司欲建立員工離職風險預測模型，資料集中包含「年度績效分數」、「平均每月加班時數」、「年齡」等數值型特徵。由於各特徵的數值範圍差異極大（例如績效分數 1–5、加班時數 0–80、年齡 20–65），若直接輸入至使用梯度下降的邏輯迴歸(Logistic Regression)模型，可能導致模型收斂緩慢或權重偏斜。為提升模型訓練效率與準確度，下列哪一種特徵工程方法最適合應用於這些數值特徵？,（A）布林轉換（Boolean Conversion）；（B）時間序列分解（Time Series Decomposition）；（C）One-hot 編碼（One-hot Encoding）；（D）數值標準化（Numerical Standardization）,D｜數值標準化（Numerical Standardization）,數值標準化（Numerical Standardization）可將不同尺度的數值型特徵轉換到較一致的尺度，例如常見的 Z-score Standardization 會將資料轉換為平均數接近 0、標準差接近 1。對使用梯度下降進行最佳化的邏輯迴歸而言，標準化可降低不同特徵尺度差異對參數更新造成的影響，通常能改善收斂效率與數值穩定性，因此答案是（D）。,可以把這題想成「先讓不同單位的數字站在比較公平的起跑點」。績效只有 1～5，加班時數可能到 80，年齡則約 20～65，如果完全不處理，梯度下降在調整權重時可能受到尺度差異影響，導致收斂比較慢。標準化會把這些數值轉到相近尺度，但不會改變原本資料之間的相對關係。**數值特徵尺度差很多＋梯度下降模型＝優先考慮 Standardization。**所以答案是（D）。
O44,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,在機器學習中，「叢集（Clustering）」方法最典型的應用情境是下列何者？,（A）根據歷史交易紀錄與已標註的詐欺案例，訓練模型來偵測未來的詐欺交易；（B）使用醫療數據與病患的診斷標籤，建立模型以預測病人是否罹患特定疾病；（C）根據顧客的消費行為與特徵，將顧客自動劃分為數個群組，以便進行差異化行銷；（D）透過大量已標註影像，訓練深度學習模型來辨識照片中的物件種類,C｜根據顧客的消費行為與特徵，將顧客自動劃分為數個群組，以便進行差異化行銷,叢集（Clustering）屬於典型的非監督式學習（Unsupervised Learning）方法，其目標是在沒有既定類別標籤的情況下，依據資料之間的相似性自動形成群組。將具有相似消費行為與特徵的顧客分成不同客群，是叢集分析最常見的應用之一，因此答案是（C）。,可以把 Clustering 想成「沒有先告訴模型誰是哪一類，讓模型自己看哪些人比較像，就把他們分在一起」。例如依據消費金額、購買頻率、商品偏好，自動分成高消費客群、價格敏感客群、偶爾購買客群，再針對不同群組設計行銷策略。其他選項都有已標註的詐欺、疾病或物件類別，屬於監督式學習。**沒有標籤＋依相似度自動分群＝Clustering。**所以答案是（C）。
O45,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,某醫院研究團隊蒐集了大量病患的「收縮壓」數據，經檢驗後顯示此數值大致呈現常態分布。在進行後續模型分析前，研究人員希望妥善處理可能存在的極端血壓數值。下列哪一種做法最為合適？,（A）將所有極端偏高或偏低的血壓數據直接刪除，以保留最具代表性的病患樣本；（B）使用對數轉換（Log Transformation），將數據壓縮至更接近常態，以降低極端值的影響；（C）透過 Z 分數（Z-score）或標準差範圍檢測異常值，並依研究需求決定是否調整或移除；（D）將檢測到的離群值以 Label Encoding 編碼，轉換為序號標籤以避免影響原始分布,C｜透過 Z 分數（Z-score）或標準差範圍檢測異常值，並依研究需求決定是否調整或移除,若數值資料大致呈常態分布，可利用 Z 分數（Z-score）衡量各觀測值距離平均數多少個標準差，作為偵測潛在離群值（Outlier）的依據。偵測出極端值後，不應一律刪除，而應再依資料正確性、臨床意義與研究目的判斷是否保留、修正或移除，因此答案是（C）。,可以把這題想成「先找出異常，再判斷它是真的特殊個案，還是資料錯誤」。例如收縮壓大多落在合理範圍，但某筆出現非常極端的數值，可以先用 Z-score 看它離平均值有多遠；如果是輸入錯誤就修正或刪除，如果是真實的重症病人，就不能因為數值極端而直接刪掉。對數轉換通常較常用於右偏資料，既然題目已說大致常態，就不是首選。**常態資料＋離群值檢測＝Z-score／標準差範圍。**所以答案是（C）。
O46,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,某電商公司想預測用戶是否會購買特定商品，資料中包含多種用戶屬性與行為特徵。分析師希望選出對購買結果最有預測價值的特徵，以提升模型效能。下列哪一種描述最符合監督式特徵選擇（SupervisedFeature Selection）的概念？,（A）根據特徵的整體分布、變異度或資訊量進行篩選，而不直接參考目標變數；（B）評估每個特徵與目標變數之間的相關性，選擇對預測結果貢獻最大的特徵；（C）使用模型評估特徵對預測結果的重要性，並保留對目標變數影響較大的欄位；（D）將特徵透過降維方法（如 PCA）轉換為新特徵，再用於模型訓練,B｜評估每個特徵與目標變數之間的相關性，選擇對預測結果貢獻最大的特徵,監督式特徵選擇（Supervised Feature Selection）會利用目標變數的資訊，評估各特徵與預測目標之間的關係，再選出較具預測價值的特徵。以相關性、統計檢定或資訊量等方式評估特徵與目標變數的關聯，是典型的監督式特徵選擇，因此依本題答案為（B）。,可以把它想成「已經知道最後要預測誰，就去找哪些特徵跟這個答案最有關」。例如要預測是否購買商品，就可以檢查瀏覽次數、加入購物車次數、過去消費金額與「是否購買」之間的關聯，再留下比較有預測價值的欄位。選項（A）完全不看目標變數，屬於非監督式篩選；（D）PCA 是特徵轉換，不是直接挑選原始特徵。要注意的是，（C）用模型重要性選特徵其實也屬於監督式特徵選擇的常見方法，因此本題選項並非完全互斥；但若依官方指定答案，直接評估特徵與目標變數關聯最符合（B）。
O47,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,在訓練神經網路時，為了提升模型收斂速度與穩定性，避免梯度消失或梯度爆炸，下列哪一種做法最常被使用？,（A）對輸入資料進行隨機旋轉或水平翻轉，以增加資料多樣性；（B）選用 ReLU 或其變體作為隱藏層的啟動函數，以改善梯度傳播；（C）減少樣本量提升訓練速度；（D）對目標變數或特徵進行標準化,B｜選用 ReLU 或其變體作為隱藏層的啟動函數，以改善梯度傳播,在深度神經網路中，若使用 Sigmoid 或 Tanh 等啟動函數，當輸入落在飽和區域時可能造成梯度變得非常小，使深層網路較容易出現梯度消失。ReLU（Rectified Linear Unit）及其變體在正值區間不易飽和，有助於改善梯度傳播與模型收斂，因此依本題答案為（B）。,可以把這題想成「梯度要能一路順利傳回去，模型才學得動」。Sigmoid 在某些區域會把輸出壓得很平，梯度就可能越傳越小；ReLU 在正值區域的梯度較能維持，因此深層網路通常比較容易訓練。選項（A）是資料增強，主要提升泛化能力；（C）減少樣本不是解決梯度問題；（D）標準化雖然也有助於訓練穩定，但若題目強調改善梯度傳播，ReLU 更符合核心概念。**改善深層網路梯度傳播＝ReLU 或其變體。**所以答案是（B）。
O48,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,若希望檢視某一連續型數據的分布情形（如集中程度、偏態或是否呈現多峰），下列哪一種應用情境最適合使用直方圖（Histogram） 來進行分析？,（A）探討顧客年齡資料的整體分布特徵，並檢視是否存在異常集中或分散現象；（B）比較不同商品在各月份的銷售額變化趨勢，以觀察季節性波動；（C）追蹤公司近一年營收的時間序列變化，以了解整體成長趨勢；（D）檢視產品價格與月銷售量之間的關聯性，以評估是否具線性相關,A｜探討顧客年齡資料的整體分布特徵，並檢視是否存在異常集中或分散現象,直方圖（Histogram）主要用於呈現單一連續型數值變數的分布情形，將數值切分成不同區間後統計各區間的出現頻率，可觀察資料的集中程度、離散程度、偏態、多峰與可能的異常分布。分析顧客年齡的整體分布正符合此用途，因此答案是（A）。,可以把 Histogram 想成「把數字分成一格一格，看每個區間有多少資料」。例如把顧客年齡分成 20–29、30–39、40–49 歲等區間，就能看出顧客主要集中在哪個年齡層、分布是否偏向年輕族群，甚至有沒有兩個明顯高峰。選項（B）（C）屬於時間趨勢，比較適合折線圖；（D）要看兩個連續變數關聯，比較適合散佈圖。**看單一連續變數的分布形狀＝Histogram。**所以答案是（A）。
O49,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,下列何者並非我國數位發展部 AI 產品與評測中心在評估大型語言模型安全性時，所指出的常見使用指標？,（A）資料複雜性；（B）事實正確性；（C）偏見與歧視；（D）惡意與濫用可能性,A｜資料複雜性,數位發展部 AI 產品與系統評測中心針對大型語言模型建立的可信任 AI 評測架構，重點包括安全性、準確性、公平性、可靠性、隱私與資安等面向；在安全性檢核中，事實正確性、偏見與歧視、惡意或濫用風險都屬於重要考量，而「資料複雜性」並非此類安全性評測的典型指標，因此答案是（A）。數位發展部公布的初步評測架構亦明確將 Safety、Accuracy、Fair、Reliability、Privacy、Secure 等列為可信任 AI 的核心面向。,可以把這題想成「安全性評測是在看 AI 會不會答錯、歧視或被拿去做壞事，不是在看資料到底有多複雜」。例如模型會不會產生錯誤事實、是否對特定族群產生偏見，以及會不會被誘導生成惡意內容，這些都直接關係到使用安全；但資料欄位很多、結構很複雜，本身比較屬於資料工程或模型處理難度問題。**事實正確性＋偏見歧視＋惡意濫用＝安全評測；資料複雜性不是。**所以答案是（A）。
O50,官方考題模式,官方模擬考｜114年第四梯次｜第一科：人工智慧基礎概論,某雲端服務公司計畫將大型語言模型部署於線上系統，並以批次推論（Batch Inference）方式處理每日上百萬筆用戶請求。專案團隊在評估可能遇到的挑戰時，下列哪一項通常不會被視為批次推論階段的主要難題？,（A）如何確保訓練語料的涵蓋性與標註品質，以避免模型偏差影響輸出；（B）當批次規模增大時，如何降低推論延遲並保持即時回應能力；（C）在推論過程中，有效管理與分配龐大的輸入資料量以避免資源壅塞；（D）在叢集環境中精確安排推論任務，以提升 GPU/TPU 等硬體資源的利用率《以下空白》,A｜如何確保訓練語料的涵蓋性與標註品質，以避免模型偏差影響輸出,批次推論（Batch Inference）是在模型已完成訓練後，一次處理大量輸入資料的推論階段，因此主要挑戰包括大量資料的資源管理、工作排程、硬體利用率、吞吐量與推論延遲等。訓練語料的涵蓋性與標註品質主要屬於模型訓練與資料準備階段的問題，而不是批次推論本身的主要難題，因此答案是（A）。,可以把流程分成「先把模型教好，再拿模型大量做預測」。選項（A）講的是訓練資料夠不夠完整、標籤對不對，這是在模型訓練之前就要處理的事情；真正到了 Batch Inference，團隊比較在意的是一天幾百萬筆資料怎麼分批、GPU 怎麼排程、記憶體會不會塞爆，以及如何提升 Throughput。要注意（B）寫「保持即時回應能力」稍微不典型，因為批次推論通常不像即時推論那麼強調單筆低延遲，但它仍然涉及整體處理時間與延遲控制。**訓練資料品質＝訓練階段；資源、排程、吞吐量＝批次推論階段。**所以答案是（A）。
O51,官方考題模式,官方模擬考｜114年第四梯次｜第二科：生成式 AI 應用與規劃,在 Low Code 平台的開發應用設計中，關於「模型（Model）」，下列敘述何者最符合實際情況？,（A）模型僅扮演設計視覺化的輔助工具，對應用邏輯的影響有限；（B）模型是用來抽象描述資料結構、業務流程與介面邏輯的核心元素，影響應用的設計與維護；（C）模型僅依循 UML（Unified Modeling Language）等傳統建模方式，缺乏針對 Low Code 環境的延展性；（D）模型在 Low Code 平台中已被自動程式碼生成全面取代，實際價值有限,B｜模型是用來抽象描述資料結構、業務流程與介面邏輯的核心元素，影響應用的設計與維護,在 Low Code 平台中，「模型（Model）」通常是用來抽象描述應用的資料結構、業務流程、規則與介面邏輯的重要核心，平台再依這些模型協助產生或配置應用功能。模型並非只是視覺化輔助，也沒有被自動程式碼生成完全取代，因此答案是（B）。,可以把 Low Code 的 Model 想成「先把系統的骨架與規則畫清楚，再由平台幫你快速做成應用」。例如訂單系統中，可以用模型定義客戶、商品、訂單之間的資料關係，也可以描述「訂單超過一定金額就送主管審核」等流程。Low Code 雖然會自動產生部分程式碼，但背後仍需要這些模型來決定資料、流程與介面怎麼運作。**資料結構＋業務流程＋介面邏輯＝Low Code Model 的核心價值。**所以答案是（B）。
O52,官方考題模式,官方模擬考｜114年第四梯次｜第二科：生成式 AI 應用與規劃,企業在導入生成式 AI 平台時，往往需要利用分散於不同部門或機構中的大量敏感文本資料。若希望在確保隱私的前提下，仍能讓模型持續優化並降低資料外洩風險，下列哪一種方法最適合？,（A）同態加密（Homomorphic Encryption）；（B）安全多方計算（Secure Multi-party Computation）；（C）零知識證明（Zero-knowledge Proofs）；（D）聯邦學習（Federated Learning）,D｜聯邦學習（Federated Learning）,聯邦學習（Federated Learning）可讓各部門或機構在本地端使用自己的敏感資料進行模型訓練，再將模型更新資訊進行集中或協同聚合，而不必直接交換或集中原始資料。這種架構能在資料保留於原所在地的前提下持續改善模型，降低敏感資料外洩風險，因此答案是（D）。,可以把 Federated Learning 想成「資料不要集中，把模型送到各地去學」。例如法務、醫療、金融三個部門都有不能外流的敏感文件，就可以各自在自己的環境中訓練，再只交換模型更新，而不是把所有原始文件集中到同一台伺服器。Homomorphic Encryption 和 Secure Multi-party Computation 也都是隱私保護技術，但題目特別強調「分散資料＋模型持續優化」，最符合聯邦學習。**資料留在本地＋跨單位共同訓練＝Federated Learning。**所以答案是（D）。
O53,官方考題模式,官方模擬考｜114年第四梯次｜第二科：生成式 AI 應用與規劃,某企業利用 No Code/Low Code 平台開發內部營運系統。為確保系統在跨部門流程與外部服務整合下仍具良好的可測試性（Testability），下列哪一項作法最為合適？,（A）依賴 No Code/Low Code 平台提供的即時預覽與基本單元測試功能，快速驗證常見流程；（B）導入可重複執行的自動化測試流程，並透過 API 或服務虛擬化進行模組化驗證；（C）將測試聚焦於使用者介面互動與操作流程驗證，檢查系統表面功能；（D）依靠使用者回饋與正式上線後的監控資料，作為修正依據,B｜導入可重複執行的自動化測試流程，並透過 API 或服務虛擬化進行模組化驗證,在 No Code／Low Code 系統涉及跨部門流程與外部服務整合時，若要提升可測試性（Testability），應建立可重複執行的自動化測試流程，並透過 API 測試或服務虛擬化（Service Virtualization）將外部相依服務模擬出來，以便分別驗證各模組與整合流程。這種方式可降低對真實外部系統的依賴，提升測試的一致性、可重現性與覆蓋率，因此答案是（B）。,可以把這題想成「不要每次都靠人工點畫面，也不要等真正外部系統上線後才測」。例如內部採購流程需要串接財務系統與第三方付款 API，就可以先用自動化測試反覆驗證流程，再用虛擬 API 模擬外部服務正常、逾時、錯誤等情況。選項（A）只能做基本驗證；（C）只看 UI 不足以檢查後端整合；（D）等上線後再靠使用者回報，風險太高。**自動化測試＋API／服務虛擬化＝跨系統整合下較完整的 Testability。**所以答案是（B）。
O54,官方考題模式,官方模擬考｜114年第四梯次｜第二科：生成式 AI 應用與規劃,"某社交平台嘗試結合自動提示工程（Automatic Prompt Engineer,APE）與圖提示（Graph Prompting），讓 AI 協助分析使用者之間的互動關係。在這個過程中，下列何者為最可能遇到的挑戰？",（A）圖結構轉換為文字提示時，可能導致部分關聯資訊遺失；（B）APE 在圖資料上無法產生任何提示內容；（C）圖轉文字後能完整保留所有上下文，對推理不造成影響；（D）Graph Prompting 僅能處理線性路徑，限制多分支探索,A｜圖結構轉換為文字提示時，可能導致部分關聯資訊遺失,Graph Prompting 需要將圖資料中的節點、邊與多重關係轉換成模型可理解的提示內容，而在圖結構轉換成線性文字時，部分拓樸關係、遠距依賴或多跳關聯可能被弱化或遺失。APE 雖可協助自動產生與優化提示，但並不能保證圖結構資訊在文字化後完全保留，因此答案是（A）。,可以把這題想成「原本是一張有很多節點和連線的關係圖，硬要塞成一句一句文字時，有些關係可能就被壓扁了」。例如 A 跟 B、C 都有關係，C 又透過 D 連到 E，圖上很好看出多跳關係，但轉成文字後若排序或描述不佳，模型可能漏掉部分連結。APE 可以幫忙找比較好的 Prompt，並不是「遇到圖資料就完全不能產生提示」；Graph Prompting 也不是只能走單一路徑。**圖結構 → 線性文字時可能遺失關聯資訊＝主要挑戰。**所以答案是（A）。
O55,官方考題模式,官方模擬考｜114年第四梯次｜第二科：生成式 AI 應用與規劃,"在超長上下文任務中使用自動提示工程（Automatic Prompt Engineer,APE）時，可能面臨的最大限制是什麼？",（A）迭代優化難以因應上下文的不斷變動，導致調整失效；（B）模型的記憶容量有限，無法完整保留所有長篇資訊；（C）提示內容難以有效分解，無法支援複雜任務拆解；（D）回饋機制通常僅針對局部片段，難以全面評估最終輸出品質,D｜回饋機制通常僅針對局部片段，難以全面評估最終輸出品質,在超長上下文任務中，APE（Automatic Prompt Engineer）若主要依賴局部回饋來反覆調整提示，容易只改善某些片段的表現，卻無法完整衡量整體輸出的連貫性、正確性與全局品質。因此，局部回饋與整體目標之間可能出現落差，答案是（D）。,可以把這題想成「只改局部，不代表整篇都會變好」。例如一份超長報告有很多段落，APE 可能根據其中幾段的回饋調整 Prompt，讓局部內容更準確，但整份報告仍可能出現前後矛盾、遺漏重點或結論偏離主題。這就是局部最佳化不一定等於全局最佳化。**局部回饋有限＋難以評估整體輸出品質＝超長上下文中的主要限制。**所以答案是（D）。
O56,官方考題模式,官方模擬考｜114年第四梯次｜第二科：生成式 AI 應用與規劃,某設計團隊計畫在短時間內完成一款行動應用程式，必須同時達到高度個人化體驗、快速生成介面與行銷內容自動產出等需求。若結合 NoCode/Low Code 平台與生成式 AI 技術，以下哪一種整合策略最能符合目標？,（A）使用生成式 AI 自動產生 API 呼叫與元件配置，並由開發者手動整合至 No Code 平台流程；（B）透過生成式 AI 在 No Code 平台中自動建立介面模板，並結合使用者數據即時生成個人化功能與行銷推播內容；（C）在 No Code 平台中導入生成式 AI，快速建立跨專案可重用的通用模組，專注於提升開發速度；（D）在 No Code 平台中完全依賴生成式 AI 自動產生所有應用功能與流程，不經人工設計或驗證,B｜透過生成式 AI 在 No Code 平台中自動建立介面模板，並結合使用者數據即時生成個人化功能與行銷推播內容,結合 No Code／Low Code 與生成式 AI 時，最符合題目需求的策略，是直接在平台內利用生成式 AI 快速建立介面模板，並結合使用者資料即時生成個人化功能與行銷內容。這種作法同時兼顧快速開發、個人化體驗與內容自動化，因此答案是（B）。,可以把這題想成「平台負責快速做 App，生成式 AI 負責把內容和體驗變得個人化」。例如 No Code 平台先快速建立會員頁面與購物流程，再根據每位使用者的瀏覽紀錄、偏好與消費行為，自動生成不同推薦內容與推播文案。選項（A）仍需要較多人工整合；（C）只強調重用模組，沒有完整涵蓋個人化與行銷內容；（D）完全不經人工驗證風險過高。**快速介面生成＋即時個人化＋行銷內容自動產出＝最佳整合策略。**所以答案是（B）。
O57,官方考題模式,官方模擬考｜114年第四梯次｜第二科：生成式 AI 應用與規劃,某團隊希望讓 AI 自動查詢 GitHub 上的程式碼庫，並生成摘要給使用者參考。開發者決定透過 Model Context Protocol（MCP）來實現，AI需先發出請求，再經由 MCP 架構逐步完成查詢與回傳。在此情境下，MCP 運作流程的正確順序為何？,（A）MCP Server→AI Host→MCP Client→資料查詢→結果回傳 AIHost；（B）MCP Client→AI Host→MCP Server→資料查詢→結果回傳 AIHost；（C）AI Host→MCP Client→ MCP Server→資料查詢→結果回傳 AIHost；（D）AI Host→MCP Server→MCP Client→資料查詢→結果回傳 AI Host,C｜AI Host→MCP Client→ MCP Server→資料查詢→結果回傳 AIHost,在 Model Context Protocol（MCP）架構中，AI Host 負責承載模型與應用程式，並透過 MCP Client 與外部的 MCP Server 溝通；MCP Server 再連接實際工具或資料來源執行查詢，完成後將結果回傳給 Host。因此流程可概括為「AI Host → MCP Client → MCP Server → 資料查詢 → 結果回傳 AI Host」，答案是（C）。,可以把 MCP 想成「AI Host 是發起需求的人，MCP Client 是溝通窗口，MCP Server 是連接外部工具的服務端」。例如 AI 想查 GitHub Repository，Host 先透過 Client 把請求送到 MCP Server，Server 再去呼叫 GitHub 的工具或 API，取得結果後沿著連線回傳給 Host。Host 發起 → Client 傳遞 → Server 執行 → 結果回到 Host，所以答案是（C）。
O58,官方考題模式,官方模擬考｜114年第四梯次｜第二科：生成式 AI 應用與規劃,在 Agent-to-Agent（A2A）架構中，不同代理人之間會分工合作。一般而言，下列敘述何者最符合 Client Agent 與 Remote Agent 的互動流程？,（A）Remote Agent 主動分派任務給 Client Agent；（B）由人工事先設定 Client Agent 與 Remote Agent 處理任務的先後順序；（C）Client Agent 發起任務，Remote Agent 執行並回傳結果；（D）Client Agent 與 Remote Agent 同時處理任務並同步處理結果,C｜Client Agent 發起任務，Remote Agent 執行並回傳結果,在 Agent-to-Agent（A2A）架構中，Client Agent 通常扮演任務發起者，向具備特定能力的 Remote Agent 提交任務；Remote Agent 接收後執行相應工作，再將結果、狀態或產出回傳給 Client Agent。因此最符合一般互動流程的是「Client Agent 發起任務，Remote Agent 執行並回傳結果」，答案是（C）。,可以把 A2A 想成「一個 Agent 找另一個專長不同的 Agent 幫忙」。例如 Client Agent 收到「規劃出差」的需求後，可以把查航班的子任務交給 Remote Agent，Remote Agent 完成搜尋後再把航班結果回傳。它不是一定由人工事先把每一步完全排死，也不是兩個 Agent 必須同時做同一件事。Client Agent 發任務 → Remote Agent 執行 → 回傳結果，所以答案是（C）。
O59,官方考題模式,官方模擬考｜114年第四梯次｜第二科：生成式 AI 應用與規劃,在導入生成式 AI 的應用規劃中，上下文工程（Context Engineering）的核心目的為何？,（A）縮短模型訓練時間；（B）優化提示與上下文；（C）增加模型參數數量；（D）優化 Fine-tuning 正確率,B｜優化提示與上下文,上下文工程（Context Engineering）的核心，是針對模型執行任務時所接收到的提示、背景資訊、檢索內容、工具結果與其他上下文進行設計與最佳化，使模型能取得與任務最相關、正確且足夠的資訊，以提升輸出品質。因此答案是（B）。,可以把 Context Engineering 想成「不只是把 Prompt 寫漂亮，而是把 AI 做決定前需要看到的所有資訊整理好」。例如同一份報告任務中，要決定提供哪些公司資料、歷史對話、RAG 檢索結果、格式規則與工具輸出，並避免塞入無關或互相衝突的資訊。它不是增加模型參數，也不是直接改善 Fine-tuning 的正確率。**整理並最佳化 Prompt＋相關上下文＝Context Engineering。**所以答案是（B）。
O60,官方考題模式,官方模擬考｜114年第四梯次｜第二科：生成式 AI 應用與規劃,某公司在導入生成式 AI 協助撰寫內部報告時，測試人員刻意在輸入的上下文中放入互相矛盾的資訊（例如：同一位員工在不同段落被描述為「入職三年」與「入職五年」）。在這種情況下，最常見的模型行為會是什麼？,（A）永遠選擇第一段資訊作為答案依據；（B）可能生成幻覺或隨機採信其中一方的內容；（C）拒絕回答，並要求提供更一致的輸入；（D）自動判斷並只選擇正確的資訊,B｜可能生成幻覺或隨機採信其中一方的內容,當上下文中存在互相矛盾的資訊時，大型語言模型不一定能判斷哪一項才是真實資料，可能依提示位置、語意關聯、注意力分布等因素採信其中一方，也可能產生不一致或幻覺式內容。因此在沒有額外驗證機制的情況下，答案以（B）最符合常見風險。,可以把這題想成「AI 同時看到兩個互相打架的答案，但沒有人告訴它哪個才是真的」。例如前面寫員工入職三年，後面又寫五年，模型有可能引用三年，也可能引用五年，甚至把資訊重新組合成另一個錯誤答案；它並不保證一定選第一段，也不一定會主動拒答。實務上應透過資料一致性檢查、來源優先級或檢索驗證降低這種問題。**上下文互相矛盾＋缺乏可信來源判斷＝可能產生不一致或幻覺。**所以答案是（B）。
O61,官方考題模式,官方模擬考｜114年第四梯次｜第二科：生成式 AI 應用與規劃,Agentic AI 在解決方案圖譜（Solution Graph）上尋找最佳解決路徑時，通常會使用什麼樣的搜尋策略？,（A）使用廣度優先、深度優先或最佳優先等演算法進行探索；（B）每一步都隨機選擇動作，反覆嘗試直到找到一條可行路徑；（C）只執行事先假定的一條路徑，失敗就停止；（D）完全依靠 LLM 一次性推斷最優完整路徑,A｜使用廣度優先、深度優先或最佳優先等演算法進行探索,"Agentic AI 在 Solution Graph 中尋找解決路徑時，通常會把可能的任務步驟或決策視為節點與分支，再利用廣度優先搜尋（Breadth-First Search, BFS）、深度優先搜尋（Depth-First Search, DFS）或最佳優先搜尋（Best-First Search）等策略探索不同路徑，以尋找較可行或較佳的解決方案。因此答案是（A）。",可以把 Solution Graph 想成「AI 面前有很多條可能的解題路線，它要有系統地去探索，而不是亂走」。BFS 會先看同一層有哪些可能路徑，DFS 會沿著某一條路先深入，Best-First Search 則優先探索看起來最有希望的方向。選項（B）是隨機嘗試，效率通常較差；（C）沒有彈性；（D）則忽略 Agentic AI 會反覆規劃、探索與修正的特性。**多路徑探索＋搜尋策略＝Solution Graph 的典型作法。**所以答案是（A）。
O62,官方考題模式,官方模擬考｜114年第四梯次｜第二科：生成式 AI 應用與規劃,某企業考慮將開源大型語言模型（GPT-OSS）自行部署在本地伺服器，以取代雲端服務。下列何者最能代表本地部署對企業的實際好處？,（A）可以達到無運算成本，因為本地部署模型不會產生額外的資源消耗；（B）模型的預測能力會比在雲端運行時更精度，因為本地環境更加可靠；（C）可確保輸入模型的敏感資料不會傳輸給第三方，提升資料隱私和自主控制；（D）以上皆是,C｜可確保輸入模型的敏感資料不會傳輸給第三方，提升資料隱私和自主控制,將開源大型語言模型如 GPT-OSS 部署於企業本地伺服器，可讓敏感輸入資料在企業自行控制的基礎設施內處理，降低將原始資料傳送至第三方雲端服務的需求，並提升對資料存取、保存、權限與稽核的自主控制。因此答案是（C）。本地部署仍會產生 GPU、伺服器、電力、維護與人力等成本，模型本身也不會因部署地點改變就自然提升準確度。,可以把本地部署想成「資料留在自己公司裡處理，不必每次都把機密內容送到外面的雲端服務」。例如財務報表、客戶資料或內部合約可以在自有伺服器上完成推論，公司也能自己決定誰能存取、資料保存多久、如何記錄稽核紀錄。不過本地部署絕對不是免費，還要買 GPU、伺服器並負擔電力與維護；而同一個模型放在本地，也不會因此自動變得更準。**敏感資料不外傳＋提高資料與系統自主控制＝本地部署的重要優勢。**所以答案是（C）。
